name,label,feature
0,tensor(0),"[0.37505315453305704, -1.4786862224086195]"
1,tensor(1),"[-0.48621344877754197, 1.5027192448345421]"
2,tensor(2),"[1.6324997145675946, -0.26632880327962966]"
3,tensor(3),"[-1.7245249664284312, -0.3855048169098487]"
4,tensor(4),"[-0.7977450931424703, 1.3897874918013895]"
5,tensor(5),"[0.44758915623978046, 0.39266664925323114]"
6,tensor(6),"[1.402174814382279, -0.8207745279350892]"
7,tensor(7),"[-1.0620909611972622, 1.2865987474959082]"
8,tensor(8),"[0.2746692950973706, -1.461380319212335]"
9,tensor(9),"[1.6541195707292995, 0.4339895320398217]"
10,tensor(10),"[-0.6669996234813177, 1.4598191216507108]"
11,tensor(11),"[-0.43663111213785055, 1.4930893698512202]"
12,tensor(12),"[1.5090927683846551, -0.45802506526440234]"
13,tensor(13),"[-0.178062952043488, 1.4305318229637471]"
14,tensor(14),"[0.17549734350178112, 0.9356816382531422]"
15,tensor(15),"[-0.4311993438129914, 1.4661937153862337]"
16,tensor(16),"[-0.5245470270449303, 1.8259741996277348]"
17,tensor(17),"[0.5884450634227206, -0.20555299195990073]"
18,tensor(18),"[1.5858669084288164, -0.6419418191520992]"
19,tensor(19),"[-0.5373877851901101, 0.13404168401107555]"
20,tensor(20),"[1.6494901142775942, -0.42291788098707594]"
21,tensor(21),"[-0.145746975100776, 1.41221967383671]"
22,tensor(22),"[-1.5234724090619225, 0.632815473271513]"
23,tensor(23),"[0.06497675707386165, -1.1659596937864047]"
24,tensor(24),"[-1.5044876969748264, 0.8377214074679797]"
25,tensor(25),"[-1.3050354170533889, 1.089925052946347]"
26,tensor(26),"[-0.21900687674778438, -1.229397943698547]"
27,tensor(27),"[-0.3688949812561179, -0.4695013641640138]"
28,tensor(28),"[0.38418947058386205, 0.7257668684820965]"
29,tensor(29),"[-0.6389245352376128, 1.5844459158781175]"
30,tensor(30),"[0.40143791305181686, 0.36547375496303447]"
31,tensor(31),"[-0.26837171819700645, 1.452819621856217]"
32,tensor(32),"[0.47075119452312125, 0.35246927198380335]"
33,tensor(33),"[-1.5794763744370581, 0.08306710780647748]"
34,tensor(34),"[-0.027920815899035695, 1.2795410519768657]"
