name,label,feature
0,tensor(0),"[-1.0073304228646094, -1.2999616579888549]"
1,tensor(1),"[0.0594373825100525, 0.8221318491107353]"
2,tensor(2),"[-0.26824198601315036, -0.1790179857692222]"
3,tensor(3),"[1.0997773522807703, 0.7888512680451655]"
4,tensor(4),"[1.4356975913984764, 0.5105673319322664]"
5,tensor(5),"[-1.1726650521665496, -0.6283004536814869]"
6,tensor(6),"[-0.21029091230355415, 0.657600596624302]"
7,tensor(7),"[1.2298522044964717, 0.7725401153144155]"
8,tensor(8),"[-1.2103778461990564, -0.9326355099318491]"
9,tensor(9),"[1.232312289006272, 0.5416268392809096]"
10,tensor(10),"[-0.44745665643862365, 1.4397450464957282]"
11,tensor(11),"[-1.31384077977571, -1.6023196245498663]"
12,tensor(12),"[-1.4172301043695414, -1.4065301949246458]"
13,tensor(13),"[1.1259678730031089, 0.5375725919523242]"
14,tensor(14),"[-1.4583873174097097, -1.0167916954179437]"
15,tensor(15),"[-1.4459712834543148, 1.5248910727235676]"
16,tensor(16),"[1.2477909987670581, 0.7394076001257773]"
17,tensor(17),"[1.1181390848684603, 0.929851654606605]"
18,tensor(18),"[-1.490971346213402, -0.8843418825730226]"
19,tensor(19),"[1.1425956043249452, 0.5381708950136459]"
20,tensor(20),"[-0.9524833081251921, -1.9291624516868757]"
21,tensor(21),"[0.6642978964917424, -0.46537536824520365]"
22,tensor(22),"[1.3113128108648116, 0.7839273332152127]"
23,tensor(23),"[-1.394751348589584, -1.1333691548022133]"
24,tensor(24),"[0.7011022474242062, 0.9534825896665923]"
25,tensor(25),"[1.2488149603638992, 0.8825070048202878]"
26,tensor(26),"[1.2210498598924553, 0.7737512022609189]"
27,tensor(27),"[1.1454960974896888, 0.7233038112223987]"
28,tensor(28),"[0.27953884616291036, -0.7036721897257666]"
29,tensor(29),"[-1.4411715950840653, -0.9159260917270807]"
30,tensor(30),"[0.033326736202150924, 1.3710994912877]"
31,tensor(31),"[1.0130674088498393, 0.3066955718059352]"
32,tensor(32),"[-0.8803510068098961, -1.2507071239477188]"
33,tensor(33),"[-0.9676175480721585, -1.3487411131597713]"
34,tensor(34),"[1.3918510775759423, 0.5484999082422701]"
35,tensor(35),"[-0.7977422736202444, -1.1033364918192259]"
36,tensor(36),"[-0.48775924042256036, -0.40884030467697413]"
37,tensor(37),"[-0.4906764610367003, 0.6561360856159194]"
38,tensor(38),"[-0.9514073889494548, -1.4308306944686804]"
39,tensor(39),"[-0.9002382531630105, -1.395594095057361]"
40,tensor(40),"[-0.032016646286585834, 0.7792042387871415]"
41,tensor(41),"[1.2107306062930163, 0.8274435285477103]"
42,tensor(42),"[-1.1507760561661156, -0.8449433451848543]"
43,tensor(43),"[1.230685876991399, 0.7460577617712323]"
44,tensor(44),"[-0.6492106999589858, 0.04150145664193656]"
45,tensor(45),"[1.3422508968469953, 0.5023232401687251]"
46,tensor(46),"[-0.05655799737730954, -0.3033068840265167]"
47,tensor(47),"[0.3344813387707245, -0.1273841308887924]"
48,tensor(48),"[1.1759014328201922, 0.5935899180870445]"
49,tensor(49),"[-0.5119106920398611, -0.09837699111573824]"
50,tensor(50),"[-0.8539618523473995, -0.07856988315407842]"
51,tensor(51),"[-0.9707195914293256, -0.49045972951346883]"
52,tensor(52),"[-1.122674336678378, -0.9781868856572793]"
53,tensor(53),"[-1.0512064471976375, 0.9914998889555063]"
54,tensor(54),"[-0.9411028356455139, -1.290510730423283]"
55,tensor(55),"[1.2216564332621151, 0.5319118708230386]"
56,tensor(56),"[-0.3345281368997082, 0.6685575042942715]"
57,tensor(57),"[-0.05766351932224344, 0.4072878298723361]"
58,tensor(58),"[1.2654040370046507, 0.597713374514545]"
59,tensor(59),"[0.3605257364503963, 1.754877191023426]"
60,tensor(60),"[-1.0414320984756336, 1.1111621707892667]"
61,tensor(61),"[1.2863798874663337, 0.22864130298552357]"
62,tensor(62),"[-1.2329381006338203, -1.6118661273180823]"
63,tensor(63),"[-1.1504666489251318, -1.1471930514651123]"
64,tensor(64),"[-0.2272335221978458, 0.7500473682320741]"
65,tensor(65),"[-1.2285967509058304, -0.7384652710125895]"
