name,label,feature
0,tensor(0),"[0.7272995860796543, 1.5781903285248908]"
1,tensor(1),"[-0.24791693108880583, -1.0034321585111619]"
2,tensor(2),"[0.7367177055281594, 0.3656279553229758]"
3,tensor(3),"[1.7485355583262225, -0.41922056183414924]"
4,tensor(4),"[0.11980203526105747, -0.9397997292147182]"
5,tensor(5),"[0.43196738456362194, -0.8632707793858242]"
6,tensor(6),"[1.692184572238917, 0.6408260819597585]"
7,tensor(7),"[-0.8658000185655946, 0.22611434679482242]"
8,tensor(8),"[1.2625044256728275, 1.209245755046629]"
9,tensor(9),"[-0.818107472488904, -0.1833079200964679]"
10,tensor(10),"[-1.390299299613545, -1.3322004119613233]"
11,tensor(11),"[-0.08619764667316658, 0.8428620461973956]"
12,tensor(12),"[0.2711542213011295, -0.9672761396746458]"
13,tensor(13),"[-0.7306166514962531, -0.07786845944369272]"
14,tensor(14),"[0.5614728552143333, -1.5681296330710206]"
15,tensor(15),"[1.6412008191338847, 0.73542989122837]"
16,tensor(16),"[-0.785527419887441, 1.5971557628847164]"
17,tensor(17),"[-0.40043472726884327, 0.8695874249869339]"
18,tensor(18),"[-1.2854753403932924, 1.237161400398099]"
19,tensor(19),"[-0.2423124755214166, -1.590308206968975]"
20,tensor(20),"[0.5325706261530235, -0.7894965950883994]"
21,tensor(21),"[-0.8420518921132677, 0.2957381499154889]"
22,tensor(22),"[-1.598755797924787, 0.5602921686406606]"
23,tensor(23),"[-0.7653572768419087, -0.332098246832112]"
24,tensor(24),"[-1.359755813819193, -0.9102101578028187]"
25,tensor(25),"[0.095804357313869, 1.0436526876753687]"
26,tensor(26),"[0.3098570396631914, -0.8775588520851837]"
27,tensor(27),"[0.5004124374131735, -0.7715613877460152]"
28,tensor(28),"[0.05223445286273097, 0.9744458712400261]"
29,tensor(29),"[-1.7269274259556044, 0.49561530259993575]"
30,tensor(30),"[0.999493642655671, 1.5691869293561946]"
31,tensor(31),"[-1.7999775143322412, -0.8128775653299055]"
