name,label,feature
0,tensor(0),"[0.8863892267074991, 0.5096122918532108]"
1,tensor(1),"[1.3661490766677105, 0.3169603008108564]"
2,tensor(2),"[-1.4639216657178387, 1.216581307271443]"
3,tensor(3),"[0.7977834028141204, 0.6270534359923436]"
4,tensor(4),"[-1.612412006143853, -0.4517523781861137]"
5,tensor(5),"[-1.2293587833123782, 1.0031205873682598]"
6,tensor(6),"[0.5665852432472108, 1.2121971305185553]"
7,tensor(7),"[1.462873077012491, 0.8419520334066212]"
8,tensor(8),"[1.5560504318814414, 0.2951877143564476]"
9,tensor(9),"[-1.668349270519911, -1.75723559606042]"
10,tensor(10),"[-0.6409170535263364, 1.0084789765527515]"
11,tensor(11),"[1.124497964188925, 1.4778759059862296]"
12,tensor(12),"[-1.5740470743413622, -1.6536107141837353]"
13,tensor(13),"[1.2833385392200463, -0.763369560630883]"
14,tensor(14),"[0.08637606587569871, 1.5518099438420507]"
15,tensor(15),"[-0.4443588893412559, 0.4698400477938121]"
16,tensor(16),"[-0.4429067898826243, 0.8195556714851651]"
17,tensor(17),"[-0.015609985254158862, -0.9941483944069403]"
18,tensor(18),"[-0.8794286942947331, -0.9239611692512215]"
19,tensor(19),"[-9.410400426510185e-05, 0.5973824381154966]"
20,tensor(20),"[1.4046070053446555, 0.5662752798409459]"
21,tensor(21),"[0.8383361001504915, -1.2285960550087125]"
22,tensor(22),"[-0.5332507608200826, -0.3917452691516963]"
23,tensor(23),"[0.5189205188207392, -0.7946581368210278]"
24,tensor(24),"[-0.7716712038704924, -0.5896026161640447]"
25,tensor(25),"[0.9364026300711307, 0.16811636420303447]"
26,tensor(26),"[-1.539833015372054, -1.538517929133282]"
27,tensor(27),"[-0.5426017916086896, 0.8140749158260344]"
28,tensor(28),"[0.5266797906228939, 0.6137648843910096]"
29,tensor(29),"[0.7912293181776161, -0.824526778598262]"
30,tensor(30),"[0.05359275998107303, 0.05110122644506165]"
31,tensor(31),"[0.6983228625084061, 1.4644032623457564]"
32,tensor(32),"[-0.8569113974955396, 0.9052968629270703]"
33,tensor(33),"[0.42994856235548373, 0.1771658243670527]"
34,tensor(34),"[0.8170679258042084, 1.4205258016890434]"
35,tensor(35),"[-1.6698254817233595, -1.3021666462123018]"
36,tensor(36),"[0.7544312234651285, -1.519565624724568]"
37,tensor(37),"[-0.05465915582481076, -1.0545139783622692]"
38,tensor(38),"[-0.8693569790713984, 0.5927734855105726]"
39,tensor(39),"[-1.6917188591575292, 1.1788461202142873]"
40,tensor(40),"[-0.2960241708932146, -0.08888769214787601]"
41,tensor(41),"[0.025939638360524285, 0.4003670332374592]"
42,tensor(42),"[-0.631643404363229, -1.4603833477404151]"
43,tensor(43),"[-0.7208443408179603, -1.231275565783797]"
44,tensor(44),"[0.08012935349516546, -0.7190005248704653]"
45,tensor(45),"[1.4342105926471451, 1.4946972276759694]"
46,tensor(46),"[0.29571528636062616, 0.3045092300411608]"
47,tensor(47),"[1.5262203164045207, 1.2265706739560858]"
48,tensor(48),"[0.7840194475299165, -0.7341685772305925]"
49,tensor(49),"[-0.5619660291966467, -1.1180637100759054]"
50,tensor(50),"[-0.15227538398811852, 1.5788909832531]"
51,tensor(51),"[1.2795227606996475, -1.4014546481781303]"
52,tensor(52),"[-1.7085717995124179, 1.2653776061836282]"
53,tensor(53),"[0.016244456052556623, -1.1217442112858367]"
54,tensor(54),"[0.47604447849325326, 0.39585178318260666]"
55,tensor(55),"[-1.3821397680687388, -0.9186943406389795]"
56,tensor(56),"[-1.5910382084323142, -1.0886925406024344]"
57,tensor(57),"[-1.347709233666832, -1.1455098821875425]"
58,tensor(58),"[0.5158444166822314, -1.6367658642883256]"
59,tensor(59),"[-1.4502962471384329, -1.3473714313310694]"
60,tensor(60),"[-0.7270357846378422, -0.7848890563249793]"
61,tensor(61),"[-0.9341476665064258, 0.7592049558287441]"
62,tensor(62),"[1.5688176221030736, 0.019060762758491993]"
63,tensor(63),"[1.3875024133125569, -0.4504284519719118]"
64,tensor(64),"[-1.43403169585034, -0.40885587364036524]"
65,tensor(65),"[-0.79580660531254, -0.11960075169546705]"
66,tensor(66),"[0.4200881824259565, -0.23018809934505435]"
67,tensor(67),"[1.3570399957822636, 1.2179636483248961]"
68,tensor(68),"[0.5714667070697342, -0.1323217980394767]"
69,tensor(69),"[-1.3497925468850072, -0.44904920195407166]"
70,tensor(70),"[0.5796327677295204, -0.8322754814146649]"
71,tensor(71),"[-1.443108795271096, 1.2970286935518314]"
72,tensor(72),"[0.5952957618197582, 0.29691894450893014]"
73,tensor(73),"[0.8764252541403353, 1.05008778706956]"
74,tensor(74),"[-0.1647037429782989, 1.205739813350921]"
75,tensor(75),"[1.2939014817482357, -0.8778492494916756]"
76,tensor(76),"[0.2533325886409603, -0.006209741513110716]"
77,tensor(77),"[0.018857558567346135, 1.3987568614728552]"
78,tensor(78),"[-0.765281110107969, 1.5551904267918883]"
79,tensor(79),"[1.2457671202786351, -0.23814233968109644]"
80,tensor(80),"[0.9604943504046444, 0.8224687241941373]"
81,tensor(81),"[0.49033440285599994, -0.7128305979420316]"
82,tensor(82),"[-1.1316091510648507, 0.48917187736363155]"
83,tensor(83),"[1.046469156564764, -1.7503957379713369]"
84,tensor(84),"[0.3721138251507851, -0.2923132558327786]"
85,tensor(85),"[1.2321450507098062, -0.7072287594564634]"
86,tensor(86),"[-0.1959476815133415, -0.04659706862620507]"
87,tensor(87),"[-1.3203070009319098, 0.6305458728050616]"
88,tensor(88),"[1.0043679973287796, -1.6080241610468227]"
89,tensor(89),"[-0.8117717319460254, -1.675916436355312]"
90,tensor(90),"[1.429079489043343, 0.4742743167412571]"
91,tensor(91),"[1.4548729581800546, 0.010572277227343208]"
92,tensor(92),"[0.9086644790748678, -0.5262893301967578]"
93,tensor(93),"[-0.6014496910628938, -0.5131178811149213]"
94,tensor(94),"[0.4228454933663136, -0.5774217577532441]"
95,tensor(95),"[1.2398251530200972, 1.5546466172691926]"
96,tensor(96),"[-1.690931402135667, -1.1441872189573181]"
97,tensor(97),"[-1.4152751106336778, -1.661153912871704]"
98,tensor(98),"[-1.0261958140656542, -0.2789146542857799]"
99,tensor(99),"[1.0263131737322386, -1.0478040620659896]"
100,tensor(100),"[-0.129376439019952, 1.3712632467441719]"
101,tensor(101),"[0.45435351151005543, 0.9216930087976857]"
102,tensor(102),"[0.06281579735156384, 1.5450481792397146]"
103,tensor(103),"[0.18971668686036958, -1.6503993835377033]"
104,tensor(104),"[-1.1264486206214888, -0.42252756992002344]"
105,tensor(105),"[0.23221560240733857, 0.8323250893574202]"
106,tensor(106),"[-0.40178392636065524, 0.6208599694461426]"
107,tensor(107),"[0.8675670221717686, -0.7216268412929456]"
108,tensor(108),"[1.5056418938763154, 0.41442151831543766]"
109,tensor(109),"[1.1745713331997745, 0.0941138104641294]"
110,tensor(110),"[0.7049616653631684, 0.8275853300540855]"
111,tensor(111),"[1.2663753236701558, -1.2920854569352471]"
112,tensor(112),"[0.08737334391108707, -0.34185191234387513]"
113,tensor(113),"[1.316608000146199, -1.4467560714025225]"
114,tensor(114),"[1.5167716033989942, 1.1861324142728031]"
115,tensor(115),"[-1.5447213043461672, -0.1279420395758188]"
116,tensor(116),"[0.6239608114997333, 0.716875719858301]"
117,tensor(117),"[1.2604653921037963, 0.9277985363903792]"
118,tensor(118),"[-0.7459378895375692, -0.10241689388047516]"
119,tensor(119),"[0.5708204407048236, -1.3328008566009741]"
120,tensor(120),"[-1.139897334824057, -0.16185960396268592]"
121,tensor(121),"[-0.7886711593917057, 1.1420704919238938]"
122,tensor(122),"[0.18168238806173784, -0.6142923147600188]"
123,tensor(123),"[1.0662100827105934, 0.9449317752319762]"
124,tensor(124),"[1.5699364026696077, 1.0899444259233466]"
125,tensor(125),"[-0.3971671360652034, -1.3701840980207318]"
126,tensor(126),"[1.0386115403483966, -1.6017059629768091]"
127,tensor(127),"[-0.6134020105933419, 1.337493256666112]"
128,tensor(128),"[1.4433042879883673, 0.3833476462801628]"
129,tensor(129),"[0.5265615097394075, -1.6608448057286382]"
130,tensor(130),"[-0.060195493834044364, 0.06311646776519206]"
131,tensor(131),"[-0.6476654239459173, -1.5714967308499608]"
132,tensor(132),"[-1.022265617032204, -0.5824431684819832]"
133,tensor(133),"[-0.3274796197408497, 0.21369768674834377]"
134,tensor(134),"[0.6402394682007209, -0.7203565445420855]"
135,tensor(135),"[-0.6852186663891201, -1.7386425851175205]"
136,tensor(136),"[-1.6557318229337343, -0.9247729478331639]"
137,tensor(137),"[0.7003863107758888, 0.3414775669147169]"
138,tensor(138),"[0.7999175955696426, 0.8220327621296368]"
139,tensor(139),"[1.092266756028458, 0.6559293969637371]"
140,tensor(140),"[1.5047682635049657, 1.266018608764743]"
141,tensor(141),"[0.1831641872180971, 0.2042337412783048]"
142,tensor(142),"[-1.6779930020738163, 1.6067732000607462]"
143,tensor(143),"[-1.3501674546664317, 0.7243799118856568]"
144,tensor(144),"[0.972494192779503, -0.5309356097995179]"
145,tensor(145),"[-1.130258004669579, -1.4684068769777]"
146,tensor(146),"[0.7285538316216256, -0.2588859094527618]"
147,tensor(147),"[0.6110183141770926, 1.3226932528649664]"
148,tensor(148),"[-1.2996076672276622, 1.3355554590529415]"
149,tensor(149),"[-0.40670141751259525, -0.762616590279511]"
150,tensor(150),"[1.3836603102441485, 1.5798587898931542]"
151,tensor(151),"[-1.1233848697981206, 0.4389673117268538]"
152,tensor(152),"[-1.4346621310170729, 0.41871937185802616]"
153,tensor(153),"[0.9937117257275313, 0.5335030347199069]"
154,tensor(154),"[-0.38747609242839054, -0.4967176494586782]"
155,tensor(155),"[-0.46903995892887795, 0.20954543316733215]"
156,tensor(156),"[1.176488950566335, 1.3693746574889534]"
157,tensor(157),"[-1.6130990192458012, -1.1852033133631994]"
158,tensor(158),"[-1.4153616134373774, -1.1451737520414473]"
159,tensor(159),"[-0.6257436806420077, -0.07474370275876567]"
160,tensor(160),"[0.32716526949826885, 0.6963373275465174]"
161,tensor(161),"[1.2052738693080196, 1.5745159695398396]"
162,tensor(162),"[0.4396710136298659, 1.083303152464994]"
163,tensor(163),"[0.8277105540843188, -0.7548752801004882]"
164,tensor(164),"[1.1566965789607575, -1.6597899190022032]"
165,tensor(165),"[-1.7921981784123455, -0.8703933058006983]"
166,tensor(166),"[-0.23666870215180433, 0.3758227851196473]"
167,tensor(167),"[-1.4505804107016116, 0.4942384807246134]"
168,tensor(168),"[0.9078132998198108, -1.1725900116435222]"
169,tensor(169),"[-0.39491427553365105, -0.028763624710532718]"
170,tensor(170),"[-0.2713365547647307, 0.9276771901255741]"
171,tensor(171),"[1.4424820191065038, 0.9246806177144229]"
172,tensor(172),"[-1.5306846001305432, 0.9451270095893427]"
173,tensor(173),"[-1.5690783848158407, -0.9994553193615001]"
174,tensor(174),"[-1.2776653863490617, -1.1308722816162804]"
175,tensor(175),"[-0.013587284041902523, 0.48972610303696096]"
176,tensor(176),"[-0.20896358315590965, 1.4740586528297328]"
177,tensor(177),"[-0.9839114687518326, 0.8022808651003591]"
178,tensor(178),"[1.138133551544234, 0.11505924138816855]"
179,tensor(179),"[-0.2564611675086242, 0.23166727796407038]"
180,tensor(180),"[-0.3488123146633381, 0.09157166380804393]"
181,tensor(181),"[-0.38882092914827115, -0.4372372997414217]"
182,tensor(182),"[0.5491270076817906, -1.4886012628077487]"
183,tensor(183),"[-1.2323697395514779, 1.1032421615018293]"
184,tensor(184),"[0.804257856057243, -0.8440045022443472]"
185,tensor(185),"[-0.5224489847499464, 1.3589858831716535]"
186,tensor(186),"[0.9625964234802779, 0.29374000157974167]"
187,tensor(187),"[-1.0472542732519308, -1.6547014546748497]"
188,tensor(188),"[-0.3405649538565487, 0.4929294999567595]"
189,tensor(189),"[0.9976441339981317, 1.108336438263863]"
190,tensor(190),"[-1.6830165219350293, -0.9714753786589495]"
191,tensor(191),"[-0.6510550829396217, -1.160903719146188]"
192,tensor(192),"[0.911719594159719, 0.8170644668007991]"
193,tensor(193),"[-0.052269451291163053, 1.5534559164583104]"
194,tensor(194),"[-1.308114833251514, 1.2688433268121475]"
195,tensor(195),"[-1.401080993006424, -1.2482290292478484]"
196,tensor(196),"[0.5520671674660214, -1.4314616354161953]"
197,tensor(197),"[0.11284796713940179, -0.36968942858357867]"
198,tensor(198),"[0.6607307110112371, 1.2723415180118085]"
199,tensor(199),"[0.8001955107653204, 1.0980861557964796]"
